epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9455,1.74045,3.68813,2.07545,0.63642,0.01384,0.0516,0.02088,2.0392,3.5072,2.57666,0.000365646,0.000365646,0.000365646
2,37.2245,1.67845,3.48809,2.09278,0.08903,0.17259,0.05234,0.0192,2.01224,3.58628,2.64026,0.000721407,0.000721407,0.000721407
3,55.8963,1.6829,3.38729,2.08457,0.0754,0.18799,0.06256,0.02436,2.04311,3.60913,2.61006,0.0010625,0.0010625,0.0010625
4,73.4567,1.66919,3.33972,2.06173,0.06148,0.26177,0.0675,0.02481,2.08946,4.06945,2.60862,0.00104501,0.00104501,0.00104501
5,90.5559,1.66753,3.20672,2.0031,0.09185,0.14609,0.07025,0.02604,2.07499,3.18597,2.48545,0.00102301,0.00102301,0.00102301
6,109.206,1.68192,3.15785,2.03546,0.07225,0.1662,0.07558,0.03022,1.89916,3.18525,2.41674,0.00100101,0.00100101,0.00100101
7,127.226,1.67157,3.16709,2.03124,0.11411,0.21361,0.09664,0.04192,1.98712,3.07387,2.40874,0.000979013,0.000979013,0.000979013
8,145.396,1.66528,3.12159,2.01961,0.11606,0.2217,0.10099,0.03956,1.84693,3.03298,2.34129,0.000957015,0.000957015,0.000957015
9,163.116,1.58781,3.16721,1.95278,0.1306,0.14459,0.11934,0.04351,1.93409,3.1354,2.4502,0.000935018,0.000935018,0.000935018
10,181.03,1.64115,3.01472,1.9833,0.17196,0.17635,0.11265,0.04542,1.9155,3.12404,2.47276,0.00091302,0.00091302,0.00091302
11,200.231,1.60299,2.95743,1.9927,0.17319,0.21514,0.13144,0.05526,1.90594,2.92559,2.42401,0.000891022,0.000891022,0.000891022
12,217.325,1.57857,2.90499,1.95181,0.14397,0.2136,0.13387,0.05229,1.86713,2.9243,2.36299,0.000869024,0.000869024,0.000869024
13,235.466,1.53474,2.85979,1.91552,0.13439,0.27799,0.13809,0.05832,1.844,2.92499,2.33456,0.000847026,0.000847026,0.000847026
14,252.54,1.55491,2.88268,1.90457,0.11557,0.23637,0.13736,0.05324,1.90638,2.88714,2.39228,0.000825029,0.000825029,0.000825029
15,270.773,1.5567,2.77143,1.91134,0.1712,0.25837,0.14071,0.05637,1.83888,2.84924,2.32168,0.000803031,0.000803031,0.000803031
16,287.893,1.49739,2.68248,1.85749,0.1778,0.28425,0.15578,0.06206,1.8249,2.77421,2.33149,0.000781033,0.000781033,0.000781033
17,305.977,1.51309,2.72181,1.89523,0.18782,0.24769,0.12852,0.05053,1.8502,2.88891,2.33504,0.000759035,0.000759035,0.000759035
18,323.084,1.49872,2.77249,1.87432,0.18554,0.31385,0.18354,0.07672,1.84656,2.77082,2.35658,0.000737037,0.000737037,0.000737037
19,342.262,1.49581,2.7134,1.88142,0.20443,0.30959,0.17111,0.07398,1.83233,2.80999,2.36279,0.00071504,0.00071504,0.00071504
20,359.323,1.47834,2.61239,1.82552,0.19481,0.30892,0.17289,0.07067,1.90372,2.71409,2.38045,0.000693042,0.000693042,0.000693042
21,377.345,1.4612,2.58897,1.8283,0.18881,0.33534,0.18332,0.07737,1.87029,2.64244,2.33299,0.000671044,0.000671044,0.000671044
22,396.228,1.45877,2.56355,1.83842,0.18417,0.32112,0.17373,0.07302,1.82606,2.65358,2.30143,0.000649046,0.000649046,0.000649046
23,414.381,1.48054,2.55801,1.8171,0.24562,0.23804,0.18744,0.08998,1.78592,2.74697,2.27421,0.000627048,0.000627048,0.000627048
24,432.229,1.43376,2.51366,1.80191,0.21442,0.33945,0.18632,0.08334,1.83638,2.65173,2.30513,0.000605051,0.000605051,0.000605051
25,452.462,1.42458,2.48826,1.81425,0.20397,0.34617,0.19071,0.07361,1.83516,2.63897,2.31372,0.000583053,0.000583053,0.000583053
26,470.445,1.4322,2.45324,1.81903,0.18281,0.31819,0.17445,0.07722,1.82959,2.62591,2.27901,0.000561055,0.000561055,0.000561055
27,488.288,1.43556,2.52476,1.79548,0.1766,0.26596,0.1811,0.07955,1.82233,2.69411,2.2997,0.000539057,0.000539057,0.000539057
28,507.307,1.38988,2.39828,1.76382,0.17556,0.34421,0.17907,0.082,1.78687,2.62334,2.27954,0.000517059,0.000517059,0.000517059
29,525.272,1.37699,2.39245,1.76456,0.21323,0.34541,0.19381,0.08817,1.80298,2.56112,2.2953,0.000495062,0.000495062,0.000495062
30,544.336,1.39301,2.34738,1.76655,0.23663,0.33243,0.21712,0.10038,1.81948,2.5694,2.2637,0.000473064,0.000473064,0.000473064
31,562.173,1.37032,2.3358,1.73524,0.2268,0.38118,0.21194,0.0952,1.80032,2.58387,2.26251,0.000451066,0.000451066,0.000451066
32,580,1.3612,2.30996,1.73087,0.25401,0.331,0.21238,0.09144,1.7916,2.62845,2.26603,0.000429068,0.000429068,0.000429068
33,600.234,1.34669,2.28677,1.71965,0.20673,0.36409,0.22964,0.10445,1.77722,2.52801,2.23591,0.00040707,0.00040707,0.00040707
34,618.15,1.31502,2.24684,1.69871,0.23892,0.33177,0.21285,0.09474,1.85145,2.65355,2.32059,0.000385073,0.000385073,0.000385073
35,638.001,1.3059,2.23891,1.68562,0.25598,0.34477,0.24419,0.11076,1.86035,2.52912,2.33957,0.000363075,0.000363075,0.000363075
36,656.325,1.36271,2.27805,1.74307,0.21581,0.31552,0.21443,0.09754,1.83766,2.57819,2.3288,0.000341077,0.000341077,0.000341077
37,675.087,1.32946,2.24275,1.74208,0.21521,0.37571,0.23651,0.10424,1.8235,2.55204,2.30548,0.000319079,0.000319079,0.000319079
38,692.971,1.26863,2.16024,1.67408,0.24978,0.35626,0.24361,0.11511,1.80854,2.47536,2.28866,0.000297081,0.000297081,0.000297081
39,711.882,1.3004,2.15797,1.67849,0.25137,0.36254,0.23621,0.10629,1.79818,2.49415,2.27543,0.000275084,0.000275084,0.000275084
40,731.682,1.27852,2.13933,1.66334,0.23159,0.32132,0.21756,0.09894,1.84206,2.58841,2.31628,0.000253086,0.000253086,0.000253086
41,791.608,1.30929,2.30427,1.802,0.2487,0.37024,0.24176,0.1065,1.85909,2.59792,2.3421,0.000231088,0.000231088,0.000231088
42,809.747,1.29101,2.20829,1.75837,0.23496,0.38266,0.24681,0.10986,1.78676,2.46294,2.27424,0.00020909,0.00020909,0.00020909
43,827.647,1.22754,2.13494,1.72502,0.25635,0.42378,0.2418,0.10679,1.81708,2.44408,2.29373,0.000187092,0.000187092,0.000187092
44,847.089,1.24169,2.12469,1.73845,0.26489,0.36907,0.23275,0.1021,1.83129,2.51108,2.31526,0.000165095,0.000165095,0.000165095
45,865.525,1.2252,2.05196,1.70983,0.25609,0.3669,0.23059,0.10936,1.82385,2.4786,2.30035,0.000143097,0.000143097,0.000143097
46,884.291,1.2186,2.09295,1.70775,0.24563,0.34774,0.24086,0.11206,1.8268,2.49264,2.32303,0.000121099,0.000121099,0.000121099
47,902.141,1.18954,2.03196,1.70775,0.22805,0.38798,0.24213,0.11415,1.80267,2.4412,2.29682,9.91012e-05,9.91012e-05,9.91012e-05
48,919.912,1.16859,1.98896,1.66614,0.23432,0.3696,0.24487,0.11442,1.80675,2.44125,2.29828,7.71034e-05,7.71034e-05,7.71034e-05
49,941.905,1.17572,1.99779,1.6994,0.2251,0.38442,0.24358,0.11158,1.80029,2.4471,2.29485,5.51056e-05,5.51056e-05,5.51056e-05
50,959.895,1.15613,1.96973,1.65401,0.22824,0.37272,0.23135,0.10904,1.79787,2.46665,2.29787,3.31078e-05,3.31078e-05,3.31078e-05
