epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2248,2.059,1.90466,1.24249,0.72266,0.60578,0.68665,0.28329,1.90231,1.30242,1.19339,0.000663477,0.000663477,0.000663477
2,86.9206,1.92665,1.37602,1.20325,0.674,0.63249,0.62479,0.26371,1.81062,1.29703,1.15025,0.00130381,0.00130381,0.00130381
3,129.383,1.93946,1.33293,1.20083,0.75285,0.68344,0.74037,0.31097,1.88882,1.16995,1.16825,0.00191774,0.00191774,0.00191774
4,171.8,1.88941,1.24829,1.18803,0.80095,0.719,0.78335,0.35208,1.78833,1.09713,1.13814,0.0018812,0.0018812,0.0018812
5,215.004,1.89394,1.21693,1.18099,0.8389,0.72956,0.80318,0.36306,1.80034,1.06739,1.12849,0.0018416,0.0018416,0.0018416
6,257.299,1.86496,1.17513,1.17399,0.86422,0.74313,0.82351,0.38189,1.75267,0.99659,1.11506,0.001802,0.001802,0.001802
7,301.725,1.85047,1.14375,1.15655,0.88131,0.73604,0.81481,0.36594,1.77933,1.02338,1.11691,0.0017624,0.0017624,0.0017624
8,344.899,1.84464,1.13612,1.15467,0.81123,0.70355,0.77893,0.33106,1.83874,1.04822,1.13751,0.0017228,0.0017228,0.0017228
9,389.678,1.85038,1.13799,1.16817,0.89078,0.75349,0.84336,0.39651,1.73134,1.00605,1.11243,0.0016832,0.0016832,0.0016832
10,433.697,1.84765,1.11549,1.16705,0.89084,0.73807,0.83017,0.38535,1.75274,0.97584,1.12477,0.0016436,0.0016436,0.0016436
11,476.875,1.82458,1.08166,1.15064,0.87919,0.75359,0.84466,0.40762,1.73579,0.9708,1.10304,0.001604,0.001604,0.001604
12,522.186,1.83188,1.09447,1.14852,0.85299,0.754,0.82154,0.38382,1.74502,1.04612,1.10769,0.0015644,0.0015644,0.0015644
13,565.063,1.7956,1.06678,1.14394,0.84502,0.74177,0.83207,0.39897,1.73584,0.96723,1.10077,0.0015248,0.0015248,0.0015248
14,609.226,1.78897,1.03208,1.13338,0.85812,0.74924,0.83725,0.39142,1.75255,0.95997,1.11823,0.0014852,0.0014852,0.0014852
15,652.138,1.79506,1.0331,1.13897,0.86471,0.76142,0.84552,0.40091,1.72141,0.94979,1.09779,0.0014456,0.0014456,0.0014456
16,699.514,1.79802,1.02786,1.13716,0.85694,0.7723,0.84583,0.38696,1.75403,0.95821,1.09619,0.001406,0.001406,0.001406
17,745.31,1.78751,1.02495,1.13163,0.83917,0.76447,0.82878,0.39277,1.7352,0.97088,1.10395,0.0013664,0.0013664,0.0013664
18,787.306,1.77886,1.02595,1.13277,0.88252,0.75504,0.82595,0.37964,1.74027,0.9615,1.10943,0.0013268,0.0013268,0.0013268
19,833.845,1.78414,1.01119,1.13488,0.86033,0.7868,0.84889,0.40537,1.71321,0.93177,1.09376,0.0012872,0.0012872,0.0012872
20,876.658,1.76775,1.01115,1.12968,0.85831,0.77487,0.83266,0.39237,1.75409,0.95214,1.12143,0.0012476,0.0012476,0.0012476
21,922.382,1.78386,1.01258,1.13455,0.86345,0.74518,0.83399,0.39691,1.7676,0.94918,1.11075,0.001208,0.001208,0.001208
22,964.444,1.76785,1.00113,1.13235,0.87344,0.76548,0.84032,0.40516,1.71028,0.93296,1.08936,0.0011684,0.0011684,0.0011684
23,1007.58,1.75706,0.99024,1.12479,0.84854,0.75127,0.81447,0.37737,1.78347,0.94035,1.12586,0.0011288,0.0011288,0.0011288
24,1055,1.73696,0.96724,1.11855,0.85194,0.77665,0.84839,0.40983,1.73559,0.93356,1.10363,0.0010892,0.0010892,0.0010892
25,1097.38,1.75792,0.97767,1.1223,0.8776,0.76447,0.84459,0.40427,1.74834,0.91611,1.1062,0.0010496,0.0010496,0.0010496
26,1142.2,1.74366,0.9513,1.11332,0.88078,0.76142,0.83154,0.39379,1.74074,0.93163,1.09704,0.00101,0.00101,0.00101
27,1187.53,1.73582,0.95908,1.11547,0.86215,0.7665,0.84554,0.41126,1.72443,0.92654,1.10195,0.0009704,0.0009704,0.0009704
28,1236.8,1.71218,0.94538,1.11669,0.85809,0.75736,0.84887,0.41415,1.72753,0.89104,1.09389,0.0009308,0.0009308,0.0009308
29,1280.78,1.73259,0.92884,1.11916,0.85628,0.75533,0.84841,0.40466,1.7601,0.90147,1.10753,0.0008912,0.0008912,0.0008912
30,1323.9,1.71937,0.93766,1.10913,0.90412,0.75838,0.84779,0.39969,1.74724,0.9116,1.10762,0.0008516,0.0008516,0.0008516
31,1367.57,1.71815,0.93887,1.11576,0.86923,0.77868,0.85145,0.41266,1.71461,0.88505,1.09199,0.000812,0.000812,0.000812
32,1410.6,1.72767,0.9229,1.10724,0.8694,0.77157,0.85262,0.40746,1.73066,0.89538,1.09977,0.0007724,0.0007724,0.0007724
33,1453.39,1.71501,0.92511,1.11085,0.89243,0.77665,0.86199,0.41736,1.7134,0.88663,1.0887,0.0007328,0.0007328,0.0007328
34,1504.73,1.70543,0.91723,1.10361,0.87815,0.77056,0.84447,0.41613,1.73571,0.87509,1.09937,0.0006932,0.0006932,0.0006932
35,1548.26,1.71473,0.9213,1.10915,0.85649,0.76345,0.84189,0.40691,1.72284,0.88425,1.09402,0.0006536,0.0006536,0.0006536
36,1591.34,1.69475,0.88663,1.10115,0.87013,0.77868,0.84071,0.40612,1.75423,0.88145,1.10208,0.000614,0.000614,0.000614
37,1636.52,1.67769,0.87018,1.08768,0.85495,0.7665,0.82861,0.3936,1.78109,0.87378,1.1178,0.0005744,0.0005744,0.0005744
38,1679.46,1.6917,0.88523,1.09454,0.85166,0.75774,0.8194,0.39195,1.77812,0.88209,1.10675,0.0005348,0.0005348,0.0005348
39,1721.4,1.66935,0.8692,1.08885,0.85898,0.78539,0.84624,0.41526,1.72623,0.85783,1.09084,0.0004952,0.0004952,0.0004952
40,1765.27,1.69089,0.86418,1.09513,0.86018,0.77259,0.84287,0.41043,1.7352,0.87841,1.09364,0.0004556,0.0004556,0.0004556
41,1874.98,1.69753,0.88253,1.12955,0.89024,0.75757,0.83995,0.40946,1.73249,0.8668,1.10054,0.000416,0.000416,0.000416
42,1917.21,1.67194,0.87675,1.11782,0.84466,0.79086,0.84004,0.4022,1.75442,0.87229,1.1068,0.0003764,0.0003764,0.0003764
43,1959.57,1.646,0.84963,1.10952,0.8721,0.76853,0.832,0.40096,1.75484,0.87803,1.11339,0.0003368,0.0003368,0.0003368
44,2004.48,1.65895,0.85724,1.11471,0.87483,0.75926,0.83363,0.39815,1.77286,0.87325,1.11002,0.0002972,0.0002972,0.0002972
45,2045.77,1.65083,0.84231,1.11286,0.86156,0.77766,0.83543,0.39981,1.77039,0.88332,1.10496,0.0002576,0.0002576,0.0002576
46,2087.78,1.6358,0.82957,1.0939,0.87021,0.78071,0.84524,0.4106,1.74452,0.85442,1.10313,0.000218,0.000218,0.000218
47,2128.21,1.62697,0.82559,1.0925,0.8797,0.76465,0.84198,0.40492,1.74689,0.87265,1.09726,0.0001784,0.0001784,0.0001784
48,2171.84,1.63579,0.83278,1.10639,0.85554,0.78579,0.84284,0.40891,1.74454,0.86186,1.09881,0.0001388,0.0001388,0.0001388
49,2217.18,1.61064,0.80774,1.09957,0.87452,0.76853,0.83855,0.41172,1.75009,0.85205,1.10236,9.92e-05,9.92e-05,9.92e-05
50,2266.04,1.60624,0.80292,1.09229,0.85847,0.78205,0.84636,0.4062,1.76421,0.85725,1.1066,5.96e-05,5.96e-05,5.96e-05
